Name,Product,Colour
g0454,Inner membrane protein,#4d4d4d
g0395,phosphopyruvate hydratase,#4d4d4d
g0430,phosphopyruvate hydratase,#4d4d4d
g0406,cytochrome d ubiquinol oxidase subunit II,#4d4d4d
g0390,Cytochrome ubiquinol oxidase subunit I,#4d4d4d
g0428,UDG domain-containing protein,#4d4d4d
g0398,Tellurite resistance protein TehA and related permeases,#4d4d4d
g0413,DNA-binding transcriptional regulator%2C LysR family,#4d4d4d
g0408,DNA-binding beta-propeller fold protein YncE,#4d4d4d
g0397,Oxidase,#4d4d4d
g0443,Cytochrome c,#4d4d4d
g0432,Cytochrome c domain-containing protein,#4d4d4d
g0389,cytochrome-c oxidase,#4d4d4d
g0394,Cytochrome c oxidase cbb3-type subunit 2,#4d4d4d
g0485,Signal peptide protein,#4d4d4d
g0447,putative lipoprotein with conserved Yx(FWY)xxD motif (function unknown),#4d4d4d
g0419,IS21-like element helper ATPase IstB,#4d4d4d
g0386,IS21 family transposase,#4d4d4d
g0474,DNA-binding protein,#4d4d4d
g0402,Winged helix DNA-binding domain-containing protein,#4d4d4d
g0458,DUF222 domain-containing protein,#4d4d4d
g0487,hypothetical protein,#4d4d4d
g0477,hypothetical protein,#4d4d4d
