Label,Plasmid,Plas_group,Strain_Rep,Plas_Rep,Plas,Quantity_S,Dilution_S,Quantity_E,Dilution_E,Quantity_P,Dilution_P,Quantity_T,Dilution_T,Start_DC,Start_RC,End_DC,End_RC,Plas_TC,Tran_TC,Data,Dat_rep
S40,pQBR150,6,4,12,2,0.05,6,0.05,7,0.1,7,0.2,0,79,64,28,59,NA,NA,Nov_23,5
S58,pQBR150,6,1,13,3,0.05,6,0.05,7,0.1,7,0.2,0,82,73,28,106,NA,NA,Nov_23,6
S27,pQBR26,1,4,4,1,0.05,6,0.05,7,0.05,5,0.2,0,76,40,120,87,NA,NA,Nov_23,4
S45,pQBR26,1,1,5,2,0.05,6,0.05,7,0.05,5,0.2,0,60,61,29,49,NA,NA,Nov_23,5
S6,pQBR26,1,8,13,3,0.05,6,0.05,7,0.05,5,0.2,0,73,114,71,212,NA,NA,Nov_23,6
S29,pQBR30,6,4,4,1,0.05,6,0.05,7,0.1,7,0.2,0,43,62,46,97,NA,NA,Nov_23,4
S47,pQBR30,6,1,5,2,0.05,6,0.05,7,0.1,7,0.2,0,44,58,33,46,NA,NA,Nov_23,5
S8,pQBR30,6,8,13,3,0.05,6,0.05,7,0.1,7,0.1,0,100,82,11,24,NA,NA,Nov_23,6
S12,pQBR51,6,8,8,1,0.05,6,0.05,7,0.1,7,0.2,0,59,48,31,89,NA,NA,Nov_23,4
S31,pQBR51,6,4,12,2,0.05,6,0.05,7,0.1,7,0.2,0,56,63,37,59,NA,NA,Nov_23,5
S49,pQBR51,6,1,13,3,0.05,6,0.05,7,0.1,6,0.2,0,65,61,32,42,NA,NA,Nov_23,6
S14,pQBR56,6,8,8,1,0.05,6,0.05,7,0.1,6,0.2,0,73,33,37,59,NA,NA,Nov_23,4
S33,pQBR56,6,4,12,2,0.05,6,0.05,7,0.1,6,0.2,0,42,40,42,125,NA,NA,Nov_23,5
S51,pQBR56,6,1,13,3,0.05,6,0.05,7,0.1,6,0.2,0,58,49,34,60,NA,NA,Nov_23,6
9,pQBR57_L,6,1,1,1,0.05,6,0.05,7,0.05,6,0.1,3,84,120,38,73,NA,NA,Nov_23,4
13,pQBR57_L,6,1,3,2,0.05,6,0.05,7,0.05,6,0.1,3,37,63,24,66,NA,NA,Nov_23,5
17,pQBR57_L,6,1,2,3,0.05,6,0.05,7,0.05,6,0.1,3,51,69,31,75,NA,NA,Nov_23,6
22N,pP19E3_L,5,9,9,1,0.04,6,0.04,7,0.05,5,0.1,0,80,55,37,47,180,0,Oct_22,7
23N,pP19E3_L,5,5,14,2,0.04,6,0.04,7,0.05,6,0.1,0,64,64,16,7,32,0,Oct_22,8
24N,pP19E3_L,5,2,16,3,0.04,6,0.04,7,0.05,6,0.1,0,87,64,14,9,45,1,Oct_22,9
11,pQBR103_L,3,8,8,1,0.04,6,0.04,7,0.05,2,0.1,0,17,68,1,77,27,0,Oct_22,5
19,pQBR103_L,3,4,12,2,0.04,6,0.04,7,0.05,2,0.1,0,32,74,2,27,20,0,Oct_22,6
60,pQBR103_L,3,1,13,3,0.04,6,0.04,7,0.05,2,0.1,0,25,87,2,23,28,0,Oct_22,7
41,pQBR55_L,2,1,1,1,0.04,6,0.04,7,0.1,3,0.1,0,101,64,15,21,158,0,Oct_22,1
42,pQBR55_L,2,2,2,2,0.04,6,0.04,7,0.1,4,0.1,0,67,71,37,51,43,0,Oct_22,2
43,pQBR55_L,2,3,3,3,0.04,6,0.04,7,0.1,3,0.1,0,75,72,35,28,18,0,Oct_22,3
9,pQBR57_L,6,2,2,1,0.04,6,0.04,6,0.05,6,0.1,2,132,157,47,99,20,15,Oct_22,7
13,pQBR57_L,6,2,1,2,0.04,6,0.04,6,0.05,6,0.1,3,74,70,65,119,41,78,Oct_22,8
17,pQBR57_L,6,2,3,3,0.04,6,0.04,6,0.05,6,0.1,3,64,60,12,35,109,249,Oct_22,9
